,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,
497,Óscar Rodríguez Arnaiz,es ESP,MFFW,Getafe,23,1998,18,9,943,10.5,0,1,0,0,0,2,0,0,0.1,0.1,0,0.1,1.1,1.1,1.5,2.6,0.1,0.14,0.24,0.1,0.24,Matches,
498,Óscar Rodríguez Arnaiz,es ESP,FWMF,Sevilla,23,1998,11,4,417,4.6,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,1.2,2.1,0.18,0.26,0.44,0.18,0.44,Matches,
499,Dani Rodríguez,es ESP,MFFW,Mallorca,33,1988,36,33,2832,31.5,3,3,3,0,0,7,0,0.1,0.1,0.19,0.1,0.19,2.8,2.8,3,5.8,0.09,0.09,0.18,0.09,0.18,Matches,
500,Guido Rodríguez,ar ARG,MF,Betis,27,1994,32,29,2529,28.1,1,2,1,0,0,9,1,0.04,0.07,0.11,0.04,0.11,1,1,0.4,1.4,0.03,0.02,0.05,0.03,0.05,Matches,
501,Rodrygo,br BRA,FW,Real Madrid,20,2001,33,17,1523,16.9,4,4,4,0,0,4,0,0.24,0.24,0.47,0.24,0.47,4.6,4.6,1.6,6.2,0.27,0.09,0.36,0.27,0.36,Matches,
502,Leonardo Román,es ESP,GK,Mallorca,21,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
503,Iván Romero,es ESP,FW,Sevilla,20,2001,5,2,178,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.27,0,0.27,0.27,0.27,Matches,
504,Unai Ropero,es ESP,MF,Alavés,19,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
505,Rubén,es ESP,DF,Espanyol,20,2001,4,1,150,1.7,0,1,0,0,0,0,0,0,0.6,0.6,0,0.6,0,0,0.5,0.5,0.01,0.27,0.28,0.01,0.28,Matches,
506,Aitor Ruibal,es ESP,FWDF,Betis,25,1996,19,9,856,9.5,0,0,0,0,0,6,0,0,0,0,0,0,1.2,1.2,0.7,2,0.13,0.08,0.21,0.13,0.21,Matches,
507,Isma Ruiz,es ESP,MF,Granada,20,2001,8,3,283,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.03,0.05,0.08,0.03,0.08,Matches,
508,Víctor Ruiz,es ESP,DF,Betis,32,1989,18,17,1424,15.8,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0.1,1.1,0.06,0.01,0.07,0.06,0.07,Matches,
509,Gerónimo Rulli,ar ARG,GK,Villarreal,29,1992,32,32,2880,32,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
510,Franco Russo,ar ARG,DF,Mallorca,26,1994,19,17,1464,16.3,1,0,1,0,0,7,2,0.06,0,0.06,0.06,0.06,0.2,0.2,0,0.2,0.01,0,0.01,0.01,0.01,Matches,
511,Mathew Ryan,au AUS,GK,Real Sociedad,29,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
512,Youssouf Sabaly,sn SEN,DF,Betis,28,1993,10,9,788,8.8,0,1,0,0,0,1,0,0,0.11,0.11,0,0.11,0.1,0.1,0.6,0.7,0.01,0.07,0.08,0.01,0.08,Matches,
513,Salvi,es ESP,MFFW,Cádiz,30,1991,23,17,1395,15.5,2,1,2,0,1,3,1,0.13,0.06,0.19,0.13,0.19,3,2.2,1.4,3.6,0.19,0.09,0.28,0.14,0.23,Matches,
514,Fede San Emeterio,es ESP,MF,Cádiz,24,1997,12,10,830,9.2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.4,0.4,0,0.05,0.05,0,0.05,Matches,
515,Oihan Sancet,es ESP,FW,Athletic Club,21,2000,27,16,1422,15.8,6,4,6,0,0,2,0,0.38,0.25,0.63,0.38,0.63,2.6,2.6,2.8,5.3,0.16,0.18,0.34,0.16,0.34,Matches,
516,Antonio Sánchez,es ESP,MFFW,Mallorca,24,1997,29,19,1616,18,1,0,1,0,0,3,1,0.06,0,0.06,0.06,0.06,1.3,1.3,0.3,1.6,0.07,0.02,0.09,0.07,0.09,Matches,
517,Germán Sánchez,es ESP,DF,Granada,34,1986,32,25,2299,25.5,2,1,2,0,0,11,1,0.08,0.04,0.12,0.08,0.12,1.3,1.3,0.2,1.6,0.05,0.01,0.06,0.05,0.06,Matches,
518,Juan Sánchez,es ESP,MF,Sevilla,17,2003,1,0,5,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
519,Manuel Sánchez,es ESP,DF,Osasuna,20,2000,33,25,2257,25.1,1,3,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,0.4,0.4,2,2.4,0.02,0.08,0.09,0.02,0.09,Matches,
520,Oier Sanjurjo,es ESP,MF,Osasuna,35,1986,25,8,758,8.4,1,0,1,0,0,3,0,0.12,0,0.12,0.12,0.12,0.6,0.6,0.2,0.8,0.07,0.02,0.09,0.07,0.09,Matches,
521,Jesús Santiago,es ESP,MF,Valencia,17,2004,3,0,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
522,Sergio Santos,es ESP,DF,Real Madrid,20,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches,
523,Alvaro Sanz,es ESP,MF,Barcelona,20,2001,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,
524,Marcelo Saracchi,uy URU,DF,Levante,23,1998,4,2,186,2.1,0,1,0,0,0,2,0,0,0.48,0.48,0,0.48,0,0,0.3,0.3,0,0.15,0.15,0,0.15,Matches,
525,Joan Sastre Vanrell,es ESP,DF,Mallorca,24,1997,7,2,258,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,
526,Esteban Saveljich,me MNE,DF,Rayo Vallecano,30,1991,21,21,1700,18.9,0,0,0,0,0,4,0,0,0,0,0,0,0.8,0.8,0.3,1.1,0.04,0.01,0.06,0.04,0.06,Matches,
527,Stefan Savi_,me MNE,DF,Atlético Madrid,30,1991,28,28,2440,27.1,0,0,0,0,0,12,0,0,0,0,0,0,1.8,1.8,0.1,1.9,0.07,0,0.07,0.07,0.07,Matches,
528,Valentino Scotta,es ESP,DF,Sevilla,19,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
529,Aleksandar Sedlar,rs SRB,DFMF,Mallorca,29,1991,10,3,404,4.5,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,
530,Javier Serrano,es ESP,MF,Atlético Madrid,18,2003,5,1,68,0.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
531,Nicolás Serrano,es ESP,MF,Athletic Club,18,2003,14,3,317,3.5,1,0,1,0,0,0,0,0.28,0,0.28,0.28,0.28,0.5,0.5,0.1,0.6,0.15,0.03,0.18,0.15,0.18,Matches,
532,Salva Sevilla,es ESP,MF,Mallorca,37,1984,28,17,1507,16.7,5,3,1,4,4,2,0,0.3,0.18,0.48,0.06,0.24,4.6,1.5,2.8,4.3,0.27,0.17,0.44,0.09,0.26,Matches,
533,David Silva,es ESP,MF,Real Sociedad,35,1986,25,22,1720,19.1,2,4,2,0,0,4,1,0.1,0.21,0.31,0.1,0.31,2.7,2.7,4.4,7.1,0.14,0.23,0.37,0.14,0.37,Matches,
534,Jonathan Silva,ar ARG,DFMF,Getafe,27,1994,9,1,226,2.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches,
535,Rui Silva,pt POR,GK,Betis,27,1994,22,21,1964,21.8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
536,Giuliano Simeone,ar ARG,DF,Atlético Madrid,18,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
537,Unai Simón,es ESP,GK,Athletic Club,24,1997,34,34,3060,34,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
538,Antonio Sivera,es ESP,GK,Alavés,24,1996,4,3,277,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
539,Rubén Sobrino,es ESP,FWMF,Cádiz,29,1992,33,19,1861,20.7,4,1,4,0,0,4,0,0.19,0.05,0.24,0.19,0.24,6.3,6.3,1.9,8.2,0.31,0.09,0.4,0.3,0.4,Matches,
540,Rubén Sobrino,es ESP,MF,Valencia,29,1992,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
541,Alex Sola,es ESP,DFFW,Real Sociedad,22,1999,2,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.18,0.38,0.2,0.38,Matches,
542,Augusto Solari,ar ARG,MFDF,Celta Vigo,29,1992,26,4,714,7.9,0,0,0,0,0,5,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.05,0.05,0.1,0.05,0.1,Matches,
543,Roberto Soldado,es ESP,FW,Levante,36,1985,18,7,664,7.4,3,2,3,0,0,7,2,0.41,0.27,0.68,0.41,0.68,3.5,3.5,0.9,4.4,0.47,0.12,0.59,0.47,0.59,Matches,
544,Carlos Soler,es ESP,MF,Valencia,24,1997,32,28,2474,27.5,11,5,4,7,7,4,0,0.4,0.18,0.58,0.15,0.33,8.1,2.8,4.5,7.3,0.3,0.16,0.46,0.1,0.26,Matches,
545,Son,es ESP,DF,Levante,27,1994,26,22,1971,21.9,1,0,1,0,0,5,1,0.05,0,0.05,0.05,0.05,1.2,1.2,1.6,2.8,0.05,0.07,0.13,0.05,0.13,Matches,
546,David Soria,es ESP,GK,Getafe,28,1993,38,38,3414,37.9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
547,Alexander Sørloth,no NOR,FW,Real Sociedad,25,1995,33,20,1763,19.6,4,0,4,0,0,2,0,0.2,0,0.2,0.2,0.2,6.5,6.5,2.6,9.1,0.33,0.13,0.47,0.33,0.47,Matches,
548,Alberto Soro,es ESP,MFFW,Granada,22,1999,16,7,578,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,0.1,0.09,0.19,0.1,0.19,Matches,
549,Hugo Sotelo,es ESP,MF,Celta Vigo,17,2003,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
550,Damián Suárez,uy URU,DF,Getafe,33,1988,35,31,2711,30.1,0,3,0,0,0,13,0,0,0.1,0.1,0,0.1,0.5,0.5,2.9,3.4,0.02,0.1,0.11,0.02,0.11,Matches,
551,Denis Suárez,es ESP,MF,Celta Vigo,27,1994,38,33,2819,31.3,4,6,4,0,0,4,0,0.13,0.19,0.32,0.13,0.32,1.9,1.9,4.6,6.6,0.06,0.15,0.21,0.06,0.21,Matches,
552,Luis Suárez,uy URU,FW,Atlético Madrid,34,1987,35,20,1835,20.4,11,2,9,2,3,7,0,0.54,0.1,0.64,0.44,0.54,9,6.8,1.7,8.4,0.44,0.08,0.53,0.33,0.41,Matches,
553,Mario Suárez,es ESP,DF,Rayo Vallecano,34,1987,14,8,712,7.9,0,0,0,0,0,2,0,0,0,0,0,0,0.9,0.9,0,0.9,0.11,0.01,0.12,0.11,0.12,Matches,
554,Suso,es ESP,FW,Sevilla,27,1993,8,6,384,4.3,0,1,0,0,0,0,0,0,0.23,0.23,0,0.23,0.2,0.2,0.4,0.6,0.05,0.09,0.14,0.05,0.14,Matches,
555,Mamadou Sylla,sn SEN,FWMF,Rayo Vallecano,27,1994,12,1,253,2.8,0,0,0,0,0,2,0,0,0,0,0,0,1.7,1.7,0.5,2.2,0.6,0.17,0.77,0.6,0.77,Matches,
556,Mamadou Sylla,sn SEN,FW,Alavés,27,1994,13,4,394,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07,Matches,
557,Tachi,es ESP,DF,Alavés,23,1997,5,2,239,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03,Matches,
558,Renato Tapia,pe PER,MF,Celta Vigo,26,1995,29,13,1412,15.7,0,0,0,0,0,10,0,0,0,0,0,0,0.5,0.5,0.1,0.7,0.03,0.01,0.04,0.03,0.04,Matches,
559,Cristian Tello,es ESP,FWMF,Betis,29,1991,23,5,819,9.1,2,2,2,0,0,2,0,0.22,0.22,0.44,0.22,0.44,1.7,1.7,2,3.7,0.19,0.22,0.4,0.19,0.4,Matches,
560,Nahuel Tenaglia,ar ARG,DF,Alavés,25,1996,14,12,1073,11.9,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.3,0.6,0.02,0.03,0.05,0.02,0.05,Matches,
561,Marc Tenas,es ESP,FWMF,Alavés,20,2001,3,0,54,0.6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.3,0.3,0,0.45,0.45,0,0.45,Matches,
562,Marc-André ter Stegen,de GER,GK,Barcelona,29,1992,35,35,3150,35,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches,
563,David Timor,es ESP,MF,Getafe,31,1989,7,3,341,3.8,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,Matches,
564,Raúl de Tomás,es ESP,FW,Espanyol,26,1994,34,33,2914,32.4,17,3,12,5,5,7,2,0.53,0.09,0.62,0.37,0.46,14.6,10.8,1.7,12.5,0.45,0.05,0.5,0.33,0.39,Matches,
565,Raúl Torrente,es ESP,DF,Granada,19,2001,18,15,1282,14.2,0,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,0.8,1.2,0.02,0.06,0.08,0.02,0.08,Matches,
566,Ferrán Torres,es ESP,FW,Barcelona,21,2000,18,17,1412,15.7,4,4,3,1,1,1,0,0.25,0.25,0.51,0.19,0.45,7.2,6.4,3,9.4,0.46,0.19,0.65,0.41,0.6,Matches,
567,Óliver Torres,es ESP,MFFW,Sevilla,26,1994,26,11,1008,11.2,2,3,2,0,0,2,0,0.18,0.27,0.45,0.18,0.45,0.9,0.9,1.9,2.8,0.08,0.17,0.25,0.08,0.25,Matches,
568,Pau Torres,es ESP,DF,Villarreal,24,1997,33,33,2855,31.7,5,1,5,0,0,5,0,0.16,0.03,0.19,0.16,0.19,3.2,3.2,1.1,4.3,0.1,0.04,0.14,0.1,0.14,Matches,
569,Roberto Torres,es ESP,MFFW,Osasuna,32,1989,28,6,809,9,2,2,0,2,2,3,0,0.22,0.22,0.44,0,0.22,2,0.4,2.1,2.5,0.22,0.23,0.45,0.05,0.28,Matches,
570,Lucas Torró,es ESP,MF,Osasuna,27,1994,33,32,2725,30.3,1,0,1,0,0,10,0,0.03,0,0.03,0.03,0.03,1.5,1.5,0.3,1.8,0.05,0.01,0.06,0.05,0.06,Matches,
571,Adama Traoré,es ESP,FWDF,Barcelona,25,1996,11,4,382,4.2,0,2,0,0,0,0,0,0,0.47,0.47,0,0.47,0.6,0.6,0.7,1.3,0.14,0.16,0.3,0.14,0.3,Matches,
572,Óscar Trejo,ar ARG,MF,Rayo Vallecano,33,1988,32,24,2007,22.3,3,9,0,3,3,13,0,0.13,0.4,0.54,0,0.4,3.4,1.2,4.3,5.4,0.15,0.19,0.35,0.05,0.24,Matches,
573,Manu Trigueros,es ESP,MFFW,Villarreal,29,1991,35,27,2178,24.2,6,4,6,0,0,3,0,0.25,0.17,0.41,0.25,0.41,4.9,4.9,2.6,7.5,0.2,0.11,0.31,0.2,0.31,Matches,
574,Kieran Trippier,eng ENG,DF,Atlético Madrid,30,1990,15,12,976,10.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0.01,0.02,0.03,0.01,0.03,Matches,
575,Beñat Turrientes,es ESP,MF,Real Sociedad,19,2002,8,1,207,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.19,0.08,0.27,0.19,0.27,Matches,
576,Samuel Umtiti,fr FRA,DF,Barcelona,27,1993,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
577,Enes Ünal,tr TUR,FW,Getafe,24,1997,37,33,2798,31.1,16,1,14,2,4,8,0,0.51,0.03,0.55,0.45,0.48,10.2,7.1,1.8,9,0.33,0.06,0.39,0.23,0.29,Matches,
578,Myrto Uzuni,al ALB,MFFW,Granada,26,1995,15,9,856,9.5,1,1,1,0,0,4,0,0.11,0.11,0.21,0.11,0.21,1.5,1.5,1,2.5,0.16,0.1,0.26,0.16,0.26,Matches,
579,Álvaro Vadillo,es ESP,MFDF,Espanyol,26,1994,3,0,7,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
580,Óscar Valentín,es ESP,MF,Rayo Vallecano,26,1994,35,29,2569,28.5,0,0,0,0,0,8,0,0,0,0,0,0,1.1,1.1,1.1,2.2,0.04,0.04,0.08,0.04,0.08,Matches,
581,Germán Valera,es ESP,FWMF,Real Sociedad,19,2002,3,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches,
582,Martin Valjent,sk SVK,DF,Mallorca,25,1995,36,36,3181,35.3,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.5,0.8,0.01,0.02,0.02,0.01,0.02,Matches,
583,Jesús Vallejo,es ESP,DF,Real Madrid,24,1997,5,4,341,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,
584,Manu Vallejo,es ESP,FWMF,Valencia,24,1997,9,0,98,1.1,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.2,0.09,0.29,0.2,0.29,Matches,
585,Manu Vallejo,es ESP,MFFW,Alavés,24,1997,11,2,370,4.1,1,1,1,0,0,0,0,0.24,0.24,0.49,0.24,0.49,1,1,0.4,1.3,0.23,0.1,0.33,0.23,0.33,Matches,
586,Federico Valverde,uy URU,MF,Real Madrid,23,1998,31,19,1833,20.4,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,1,1,2.1,3,0.05,0.1,0.15,0.05,0.15,Matches,
587,José Luis García Vayá,es ESP,MF,Levante,22,1998,29,23,2012,22.4,0,0,0,0,0,9,0,0,0,0,0,0,0.6,0.6,2,2.6,0.03,0.09,0.12,0.03,0.12,Matches,
588,Jesus Vazquez,es ESP,DF,Valencia,18,2003,15,8,813,9,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,0.07,0.02,0.1,0.07,0.1,Matches,
589,Kevin Vázquez,es ESP,DF,Celta Vigo,28,1993,17,16,1334,14.8,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,0.4,0.4,0.5,0.9,0.03,0.04,0.06,0.03,0.06,Matches,
590,Lucas Vázquez,es ESP,DF,Real Madrid,30,1991,29,20,1833,20.4,3,0,3,0,0,3,0,0.15,0,0.15,0.15,0.15,1.8,1.8,2.6,4.4,0.09,0.13,0.22,0.09,0.22,Matches,
591,Gabriel Veiga,es ESP,MF,Celta Vigo,19,2002,7,0,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches,
592,Unai Vencedor Paris,es ESP,MF,Athletic Club,20,2000,34,29,2383,26.5,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0.8,1.8,0.04,0.03,0.07,0.04,0.07,Matches,
593,Gonzalo Verdú,es ESP,DF,Elche,32,1988,19,16,1397,15.5,0,0,0,0,0,11,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches,
594,Mikel Vesga,es ESP,MF,Athletic Club,28,1993,32,17,1358,15.1,2,0,2,0,0,7,2,0.13,0,0.13,0.13,0.13,0.9,0.9,0.9,1.8,0.06,0.06,0.12,0.06,0.12,Matches,
595,Rúben Vezo,pt POR,DF,Levante,27,1994,32,27,2420,26.9,0,0,0,0,0,4,0,0,0,0,0,0,0.8,0.8,0.2,1,0.03,0.01,0.04,0.03,0.04,Matches,
596,Aleix Vidal,es ESP,DFMF,Espanyol,31,1989,31,21,1901,21.1,2,0,2,0,0,10,0,0.09,0,0.09,0.09,0.09,0.8,0.8,1.9,2.7,0.04,0.09,0.13,0.04,0.13,Matches,
597,Nacho Vidal,es ESP,DF,Osasuna,26,1995,35,33,2902,32.2,0,1,0,0,0,9,0,0,0.03,0.03,0,0.03,1.1,1.1,2,3.1,0.03,0.06,0.1,0.03,0.1,Matches,
598,Dídac Vilà,es ESP,DFMF,Espanyol,32,1989,9,1,203,2.3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05,Matches,
599,Tonny Vilhena,nl NED,MFFW,Espanyol,26,1995,17,13,928,10.3,1,1,1,0,0,4,0,0.1,0.1,0.19,0.1,0.19,1,1,0.9,1.9,0.1,0.09,0.18,0.1,0.18,Matches,
600,Daniel Villahermosa,es ESP,MF,Espanyol,20,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
601,Asier Villalibre,es ESP,FW,Athletic Club,23,1997,19,3,548,6.1,2,0,2,0,0,0,0,0.33,0,0.33,0.33,0.33,2.2,2.2,0.1,2.3,0.36,0.01,0.37,0.36,0.37,Matches,
602,Gonzalo Villar,es ESP,MF,Getafe,23,1998,10,2,298,3.3,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.3,0.3,0.4,0.7,0.08,0.12,0.2,0.08,0.2,Matches,
603,Vitolo,es ESP,MFFW,Getafe,31,1989,7,1,221,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.02,0.06,0.07,0.02,0.07,Matches,
604,Daniel Vivian,es ESP,DF,Athletic Club,22,1999,24,22,1986,22.1,2,1,2,0,0,2,0,0.09,0.05,0.14,0.09,0.14,1.8,1.8,0.2,2,0.08,0.01,0.09,0.08,0.09,Matches,
605,_ime Vrsaljko,hr CRO,DF,Atlético Madrid,29,1992,21,10,914,10.2,1,2,1,0,0,4,0,0.1,0.2,0.3,0.1,0.3,0.8,0.8,0.7,1.5,0.08,0.07,0.15,0.08,0.15,Matches,
606,Nikola Vuk_evi_,me MNE,MF,Levante,29,1991,6,0,118,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches,
607,Daniel Wass,dk DEN,MF,Valencia,32,1989,19,19,1582,17.6,1,1,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,1.8,1.8,0.6,2.4,0.1,0.03,0.14,0.1,0.14,Matches,
608,Daniel Wass,dk DEN,DF,Atlético Madrid,32,1989,1,0,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
609,Iñaki Williams,es ESP,FW,Athletic Club,27,1994,38,32,2777,30.9,8,5,7,1,1,4,0,0.26,0.16,0.42,0.23,0.39,14.2,13.4,5.4,18.9,0.46,0.18,0.64,0.44,0.61,Matches,
610,Nico Williams,es ESP,MF,Athletic Club,19,2002,34,11,1337,14.9,0,0,0,0,0,4,0,0,0,0,0,0,3.1,3.1,1.5,4.6,0.21,0.1,0.31,0.21,0.31,Matches,
611,Okay Yoku_lu,tr TUR,DFMF,Getafe,27,1994,11,5,465,5.2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,Matches,
612,Okay Yoku_lu,tr TUR,DFMF,Celta Vigo,27,1994,8,1,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.15,0,0.15,0.15,0.15,Matches,
613,Joseba Zaldúa,es ESP,DF,Real Sociedad,29,1992,24,14,1172,13,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches,
614,Oier Zarraga,es ESP,MF,Athletic Club,22,1999,31,8,1166,13,1,0,0,1,1,5,0,0.08,0,0.08,0,0,1.3,0.5,0.2,0.7,0.1,0.02,0.12,0.04,0.06,Matches,
615,Luca Zidane,fr FRA,GKMF,Rayo Vallecano,23,1998,8,8,645,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
616,Igor Zubeldia,es ESP,DF,Real Sociedad,24,1997,26,19,1648,18.3,0,1,0,0,0,7,0,0,0.05,0.05,0,0.05,0.8,0.8,0.2,1,0.04,0.01,0.05,0.04,0.05,Matches,
617,Martín Zubimendi,es ESP,MF,Real Sociedad,22,1999,36,26,2591,28.8,2,1,2,0,0,4,0,0.07,0.03,0.1,0.07,0.1,2,2,1,3,0.07,0.04,0.1,0.07,0.1,Matches,
