,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,
430,Gavi Paez,es ESP,MFFW,Barcelona,16,2004,34,28,2316,25.7,2,5,2,0,0,11,1,0.08,0.19,0.27,0.08,0.27,4,4,3.1,7.1,0.15,0.12,0.27,0.15,0.27,Matches,
431,Helibelton Palacios,co COL,DF,Elche,28,1993,26,22,1931,21.5,0,0,0,0,0,6,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,0.01,0.01,0,0.01,Matches,
432,Isaac Palazón Camacho,es ESP,FWMF,Rayo Vallecano,26,1994,34,27,2288,25.4,2,4,2,0,0,7,0,0.08,0.16,0.24,0.08,0.24,3.3,3.3,2.5,5.8,0.13,0.1,0.23,0.13,0.23,Matches,
433,Daniel Parejo,es ESP,MF,Villarreal,32,1989,33,32,2704,30,2,10,1,1,1,3,0,0.07,0.33,0.4,0.03,0.37,1.7,1,6.6,7.6,0.06,0.22,0.28,0.03,0.25,Matches,
434,Raúl Parra,es ESP,DF,Cádiz,21,1999,2,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
435,Javier Pastore,ar ARG,MFFW,Elche,32,1989,13,6,525,5.8,0,0,0,0,0,2,1,0,0,0,0,0,0.4,0.4,0.9,1.3,0.07,0.15,0.22,0.07,0.22,Matches,
436,Gabriel Paulista,br BRA,DF,Valencia,30,1990,19,19,1592,17.7,2,1,2,0,0,2,0,0.11,0.06,0.17,0.11,0.17,0.9,0.9,0.1,1,0.05,0.01,0.06,0.05,0.06,Matches,
437,Alfonso Pedraza,es ESP,DF,Villarreal,25,1996,28,19,1701,18.9,4,4,4,0,0,2,0,0.21,0.21,0.42,0.21,0.42,1.6,1.6,3.2,4.8,0.08,0.17,0.25,0.08,0.25,Matches,
438,Pedri,es ESP,MF,Barcelona,18,2002,12,10,885,9.8,3,1,3,0,0,0,0,0.31,0.1,0.41,0.31,0.41,1.1,1.1,1.1,2.2,0.11,0.11,0.22,0.11,0.22,Matches,
439,Pedrosa,es ESP,DF,Espanyol,23,1998,31,31,2720,30.2,1,1,1,0,0,8,0,0.03,0.03,0.07,0.03,0.07,1.2,1.2,1.8,2.9,0.04,0.06,0.1,0.04,0.1,Matches,
440,Facundo Pellistri,uy URU,MFFW,Alavés,19,2001,21,6,672,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4,1.4,0.13,0.05,0.18,0.13,0.18,Matches,
