,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
32,Santiago Arias\fdd60087,co COL,DF,Granada,30-003,1992,8,3,327,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.6,0.6,0.2,0.8,0.17,0.05,0.22,0.17,0.22,Matches
33,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,23-256,1998,8,4,316,3.5,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
34,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-202,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
35,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,25-360,1996,17,10,904,10.0,5,0,5,0,0,0,0,0.50,0.00,0.50,0.50,0.50,3.8,3.8,1.3,5.1,0.38,0.13,0.51,0.38,0.51,Matches
36,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,34-168,1987,19,18,1509,16.8,10,2,8,2,4,7,0,0.60,0.12,0.72,0.48,0.60,7.8,4.7,3.6,8.3,0.47,0.22,0.68,0.28,0.49,Matches
37,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,27-270,1994,10,5,443,4.9,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,0.2,0.2,0.01,0.04,0.04,0.01,0.04,Matches
38,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,29-023,1992,6,3,334,3.7,0,1,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,0.3,0.3,0.8,1.1,0.09,0.22,0.31,0.09,0.31,Matches
39,Ezequiel Ávila\253a06b9,ar ARG,FW,Osasuna,27-344,1994,19,7,710,7.9,3,0,3,0,0,5,1,0.38,0.00,0.38,0.38,0.38,1.6,1.6,0.6,2.2,0.20,0.08,0.28,0.20,0.28,Matches
40,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,25-359,1996,17,15,1314,14.6,2,0,2,0,0,7,0,0.14,0.00,0.14,0.14,0.14,1.3,1.3,0.2,1.5,0.09,0.01,0.10,0.09,0.10,Matches
41,Carlos Bacca\09a9e921,co COL,FW,Granada,35-130,1986,13,4,475,5.3,0,1,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,0.7,0.7,0.5,1.1,0.12,0.09,0.21,0.12,0.21,Matches
42,Édgar Badía\e4346678,es ESP,GK,Elche,29-338,1992,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
43,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,21-295,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
44,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,18-090,2003,4,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
45,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,32-184,1989,3,3,190,2.1,1,0,1,0,0,1,0,0.47,0.00,0.47,0.47,0.47,0.4,0.4,0.0,0.4,0.17,0.02,0.19,0.17,0.19,Matches
46,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,33-321,1988,17,17,1450,16.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03,Matches
47,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,30-015,1992,19,19,1710,19.0,1,1,1,0,0,6,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,1.6,2.0,0.02,0.08,0.10,0.02,0.10,Matches
48,Barbero\981c1863,es ESP,FWMF,Osasuna,23-152,1998,4,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches
49,Enis Bardhi\cac2537b,mk MKD,MF,Levante,26-198,1995,14,9,845,9.4,3,2,1,2,2,2,0,0.32,0.21,0.53,0.11,0.32,3.0,1.5,1.1,2.6,0.32,0.12,0.44,0.16,0.28,Matches
50,Keidi Bare\03049c8c,al ALB,MF,Espanyol,24-141,1997,14,8,759,8.4,0,1,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.8,0.9,0.02,0.09,0.11,0.02,0.11,Matches
51,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,24-290,1997,10,7,558,6.2,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,1.0,1.0,0.6,1.6,0.16,0.10,0.26,0.16,0.26,Matches
52,Antonio Barragán\487d9b09,es ESP,DF,Elche,34-218,1987,8,6,496,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
53,Ander Barrenetxea\200e89e1,es ESP,FWMF,Real Sociedad,20-020,2001,11,6,547,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.4,0.4,1.0,1.4,0.06,0.17,0.23,0.06,0.23,Matches
54,Marc Bartra\b742cc0d,es ESP,DF,Betis,31-001,1991,9,9,733,8.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.5,0.06,0.01,0.06,0.06,0.06,Matches
55,Álvaro Bastida\42a028c5,es ESP,MF,Cádiz,17-249,2004,6,2,197,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
56,Rodrigo Battaglia\d637fc22,ar ARG,MF,Mallorca,30-188,1991,14,6,582,6.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,Matches
57,Jon Bautista\debc6b55,es ESP,FWMF,Real Sociedad,26-197,1995,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
58,Bebé\d8712bf9,pt POR,FWMF,Rayo Vallecano,31-188,1990,16,1,355,3.9,0,2,0,0,0,1,0,0.00,0.51,0.51,0.00,0.51,0.6,0.6,1.5,2.2,0.16,0.38,0.55,0.16,0.55,Matches
59,Héctor Bellerín\f874dd44,es ESP,DF,Betis,26-303,1995,13,13,1146,12.7,0,2,0,0,0,0,1,0.00,0.16,0.16,0.00,0.16,0.2,0.2,1.7,1.8,0.01,0.13,0.14,0.01,0.14,Matches
60,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,22-347,1999,20,14,1218,13.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.01,0.03,0.04,0.01,0.04,Matches
61,Darío Benedetto\bef0a7ac,ar ARG,FW,Elche,31-244,1990,14,6,590,6.6,2,1,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46,2.7,2.7,0.9,3.6,0.41,0.14,0.56,0.41,0.56,Matches
62,Pedro Benito\a7416105,es ESP,FW,Cádiz,21-295,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
63,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,34-028,1987,20,20,1646,18.3,17,7,15,2,2,0,0,0.93,0.38,1.31,0.82,1.20,10.5,9.0,5.4,14.4,0.57,0.29,0.87,0.49,0.78,Matches
64,Álex Berenguer\dc1c2fce,es ESP,MF,Athletic Club,26-196,1995,19,13,1095,12.2,0,2,0,0,1,3,0,0.00,0.16,0.16,0.00,0.16,2.7,1.9,2.2,4.1,0.22,0.18,0.40,0.16,0.34,Matches
65,Pedro Bigas\697295b1,es ESP,DF,Elche,31-123,1990,10,10,817,9.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.04,0.02,0.04,Matches
66,Blanco\506daeac,es ESP,MF,Real Madrid,21-177,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
67,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,30-286,1991,17,17,1530,17.0,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.5,0.5,0.00,0.03,0.03,0.00,0.03,Matches
68,Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,25-322,1996,15,14,1156,12.8,5,1,5,0,0,2,0,0.39,0.08,0.47,0.39,0.47,3.4,3.4,1.2,4.6,0.27,0.09,0.36,0.27,0.36,Matches
69,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,30-225,1991,3,3,224,2.5,2,1,2,0,0,0,0,0.80,0.40,1.21,0.80,1.21,1.0,1.0,1.3,2.3,0.42,0.50,0.92,0.42,0.92,Matches
70,Darko Brašanac\4accb7e0,rs SRB,MF,Osasuna,29-338,1992,19,15,1369,15.2,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,1.1,1.8,0.05,0.07,0.12,0.05,0.12,Matches
71,Claudio Bravo\10072610,cl CHI,GK,Betis,38-278,1983,7,7,630,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02,Matches
72,Yan Brice Eteki\3d688b46,cm CMR,MF,Granada,24-143,1997,6,1,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
73,Ante Budimir\8f3565b3,hr CRO,FW,Osasuna,30-178,1991,10,5,449,5.0,2,0,1,1,1,1,0,0.40,0.00,0.40,0.20,0.20,2.2,1.6,0.2,1.8,0.45,0.04,0.49,0.33,0.37,Matches
74,Sergio Busquets\5ab0ea87,es ESP,MF,Barcelona,33-184,1988,19,19,1672,18.6,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches
75,Adrián Butzke\505dce2b,es ESP,FW,Granada,22-292,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Erick Cabaco\e7ab4179,uy URU,DF,Getafe,26-272,1995,6,3,239,2.7,0,1,0,0,0,3,1,0.00,0.38,0.38,0.00,0.38,0.0,0.0,0.4,0.4,0.00,0.13,0.13,0.00,0.13,Matches
77,Leandro Cabrera\69cbc8b6,uy URU,DF,Espanyol,30-213,1991,20,20,1800,20.0,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.1,1.0,0.04,0.01,0.05,0.04,0.05,Matches
78,Cala\fe05804b,es ESP,DF,Cádiz,32-051,1989,11,9,859,9.5,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.06,0.00,0.06,0.06,0.06,Matches
79,Calderón\da4e70e5,es ESP,DF,Betis,22-009,2000,1,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.19,0.19,0.00,0.19,Matches
80,Fernando Calero\41b3069f,es ESP,DF,Espanyol,26-124,1995,2,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
81,Víctor Camarasa\b2d03887,es ESP,MFFW,Betis,27-233,1994,5,0,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
82,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Real Madrid,19-067,2002,14,5,516,5.7,1,0,1,0,0,4,0,0.17,0.00,0.17,0.17,0.17,0.8,0.8,0.4,1.2,0.15,0.07,0.21,0.15,0.21,Matches
83,José Campaña\61220da2,es ESP,MF,Levante,28-230,1993,13,12,1030,11.4,2,0,2,0,1,3,1,0.17,0.00,0.17,0.17,0.17,1.2,0.4,0.5,0.9,0.11,0.04,0.15,0.03,0.08,Matches
84,Sergio Canales\a6de370d,es ESP,FWMF,Betis,30-334,1991,19,18,1494,16.6,2,3,2,0,0,2,0,0.12,0.18,0.30,0.12,0.30,3.5,3.5,2.8,6.3,0.21,0.17,0.38,0.21,0.38,Matches
85,Álex Cantero\4aa253fd,es ESP,FWMF,Levante,21-222,2000,14,2,311,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.0,1.7,0.48,0.00,0.48,0.48,0.48,Matches
86,Étienne Capoue\5acc4a10,fr FRA,MF,Villarreal,33-189,1988,17,16,1356,15.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.01,0.01,0.03,0.01,0.03,Matches
87,Isaac Carcelen\c4b888df,es ESP,DFMF,Cádiz,28-268,1993,16,13,1121,12.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.01,0.03,0.04,0.01,0.04,Matches
88,Cárdenas\e1846dde,es ESP,GK,Levante,24-294,1997,9,9,810,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
89,Carlo\8249ff06,es ESP,MF,Villarreal,20-338,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
90,Diego Carlos\b4a014b1,br BRA,DF,Sevilla,28-307,1993,19,19,1709,19.0,2,0,2,0,0,3,1,0.11,0.00,0.11,0.11,0.11,1.8,1.8,0.1,1.9,0.09,0.01,0.10,0.09,0.10,Matches
91,Yannick Carrasco\de39485a,be BEL,DFMF,Atlético Madrid,28-134,1993,19,17,1485,16.5,2,4,2,0,0,3,0,0.12,0.24,0.36,0.12,0.36,2.3,2.3,2.9,5.2,0.14,0.17,0.32,0.14,0.32,Matches
92,Guido Carrillo\8f898ba8,ar ARG,FWMF,Elche,30-236,1991,14,3,422,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.0,1.6,0.33,0.01,0.34,0.33,0.34,Matches
93,Dani Carvajal\4958bfb2,es ESP,DF,Real Madrid,30-005,1992,12,9,764,8.5,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.8,1.2,0.05,0.09,0.14,0.05,0.14,Matches
94,William Carvalho\dee86451,pt POR,MF,Betis,29-284,1992,18,10,930,10.3,0,2,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,1.3,1.3,1.1,2.4,0.13,0.11,0.23,0.13,0.23,Matches
95,Casemiro\4d224fe8,br BRA,MF,Real Madrid,29-327,1992,19,18,1580,17.6,0,3,0,0,0,7,0,0.00,0.17,0.17,0.00,0.17,1.2,1.2,1.7,2.9,0.07,0.10,0.16,0.07,0.16,Matches
96,Kiko Casilla\58bc7d18,es ESP,GK,Elche,35-106,1986,12,12,1080,12.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
97,Catena\274ab13c,es ESP,DF,Rayo Vallecano,27-080,1994,19,19,1710,19.0,1,1,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,1.1,1.1,0.6,1.7,0.06,0.03,0.09,0.06,0.09,Matches
98,Dani Ceballos\c0617e2b,es ESP,MF,Real Madrid,25-162,1996,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
99,Franco Cervi\5e1028e5,ar ARG,MF,Celta Vigo,27-235,1994,19,8,840,9.3,1,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,1.0,1.0,0.9,1.9,0.11,0.09,0.20,0.11,0.20,Matches
100,Chapela\9ed40a69,es ESP,MFFW,Cádiz,22-240,1999,9,4,398,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.02,0.03,0.05,0.02,0.05,Matches
101,Chema\7f203b54,es ESP,MF,Getafe,29-319,1992,1,1,45,0.5,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
102,Denis Cheryshev\0ac94a23,ru RUS,MF,Valencia,31-021,1990,10,5,423,4.7,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,0.8,0.8,0.3,1.1,0.16,0.07,0.23,0.16,0.23,Matches
103,Samuel Chukwueze\b8a642fc,ng NGA,MF,Villarreal,22-239,1999,12,2,433,4.8,2,1,2,0,0,1,0,0.42,0.21,0.62,0.42,0.62,1.4,1.4,0.9,2.4,0.29,0.20,0.49,0.29,0.49,Matches
104,Víctor Chust\ec1a731e,es ESP,DF,Cádiz,21-317,2000,10,8,701,7.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.06,0.00,0.06,0.06,0.06,Matches
105,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,32-269,1989,14,14,1260,14.0,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
106,Pathé Ciss\9a0408b6,sn SEN,MF,Rayo Vallecano,27-306,1994,15,6,513,5.7,1,1,1,0,0,3,0,0.18,0.18,0.35,0.18,0.35,0.9,0.9,0.3,1.2,0.16,0.06,0.22,0.16,0.22,Matches
107,Carlos Clerc\33a61a52,es ESP,DF,Levante,29-329,1992,16,16,1342,14.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.01,0.03,0.04,0.01,0.04,Matches
108,Coke\6d8f8441,es ESP,DF,Levante,34-265,1987,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
109,Álex Collado\85dace26,es ESP,MF,Granada,22-269,1999,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches
110,Santi Comesaña\5ae499d0,es ESP,MF,Rayo Vallecano,25-103,1996,19,17,1465,16.3,1,2,1,0,0,5,0,0.06,0.12,0.18,0.06,0.18,2.1,2.1,1.6,3.7,0.13,0.10,0.23,0.13,0.23,Matches
111,Francis Coquelin\a6951bf8,fr FRA,MF,Villarreal,30-248,1991,13,6,567,6.3,1,1,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,0.2,0.2,0.5,0.7,0.04,0.08,0.12,0.04,0.12,Matches
112,Ángel Correa\01eb744d,ar ARG,FWMF,Atlético Madrid,26-313,1995,20,14,1162,12.9,7,4,7,0,0,2,0,0.54,0.31,0.85,0.54,0.85,3.8,3.8,2.7,6.5,0.29,0.21,0.50,0.29,0.50,Matches
113,Thierry Correia\c78b352d,pt POR,DF,Valencia,22-313,1999,7,6,478,5.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.12,0.12,0.00,0.12,Matches
114,Hélder Costa\f13d02a6,ao ANG,MFFW,Valencia,28-004,1994,14,10,890,9.9,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,1.5,1.7,0.03,0.15,0.18,0.03,0.18,Matches
115,Jaume Costa\808d48f3,es ESP,DF,Mallorca,33-304,1988,13,10,937,10.4,0,1,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.9,1.2,0.03,0.09,0.12,0.03,0.12,Matches
116,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,29-250,1992,21,21,1890,21.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
117,Philippe Coutinho\0ef89a37,br BRA,MFFW,Barcelona,29-218,1992,12,5,503,5.6,2,0,1,1,1,1,0,0.36,0.00,0.36,0.18,0.18,2.8,2.0,0.3,2.4,0.50,0.06,0.56,0.36,0.42,Matches
118,Cristo\ad81ba78,es ESP,DF,Real Sociedad,21-261,2000,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.39,0.42,0.03,0.42,Matches
119,Juan Cruz Armada\a56da3ba,es ESP,DF,Osasuna,29-172,1992,9,8,732,8.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
120,Marc Cucurella\1daec722,es ESP,FWDF,Getafe,23-178,1998,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.22,0.23,0.45,0.22,0.45,Matches
121,Jorge Cuenca\0abc51f2,es ESP,DF,Getafe,22-060,1999,17,16,1427,15.9,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.1,0.4,0.02,0.00,0.03,0.02,0.03,Matches
122,Matheus Cunha\dc62b55d,br BRA,FW,Atlético Madrid,22-234,1999,16,3,445,4.9,3,1,3,0,0,3,0,0.61,0.20,0.81,0.61,0.81,2.4,2.4,0.8,3.2,0.49,0.16,0.65,0.49,0.65,Matches
123,Sergi Darder\070a3904,es ESP,MF,Espanyol,28-025,1993,18,18,1510,16.8,1,2,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,1.3,1.3,1.8,3.1,0.08,0.11,0.18,0.08,0.18,Matches
124,Rodrigo De Paul\162efffd,ar ARG,MF,Atlético Madrid,27-237,1994,19,13,1131,12.6,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,1.9,2.5,0.05,0.15,0.20,0.05,0.20,Matches
125,Thomas Delaney\fe641c1a,dk DEN,MF,Sevilla,30-135,1991,14,7,703,7.8,1,1,1,0,0,4,1,0.13,0.13,0.26,0.13,0.26,0.5,0.5,0.3,0.8,0.06,0.04,0.10,0.06,0.10,Matches
126,Ousmane Dembélé\b19db005,fr FRA,FWDF,Barcelona,24-246,1997,6,4,398,4.4,0,2,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.5,0.5,1.3,1.8,0.12,0.30,0.42,0.12,0.42,Matches
127,Yusuf Demir\fa265f6d,at AUT,FW,Barcelona,18-228,2003,6,2,192,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches
128,Memphis Depay\8f696594,nl NED,FW,Barcelona,27-337,1994,16,15,1379,15.3,8,2,5,3,4,2,0,0.52,0.13,0.65,0.33,0.46,8.1,5.1,3.1,8.2,0.53,0.20,0.74,0.33,0.54,Matches
129,Sergiño Dest\5976f83e,us USA,DFFW,Barcelona,21-074,2000,12,11,967,10.7,0,3,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,1.5,1.5,2.7,4.2,0.14,0.25,0.39,0.14,0.39,Matches
130,Boulaye Dia\244bc2c8,sn SEN,FW,Villarreal,25-061,1996,15,9,874,9.7,4,4,4,0,0,2,0,0.41,0.41,0.82,0.41,0.82,4.4,4.4,1.3,5.7,0.45,0.13,0.59,0.45,0.59,Matches
131,Mouctar Diakhaby\d2110326,fr FRA,DF,Valencia,25-028,1996,16,8,836,9.3,0,1,0,0,0,6,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
132,Víctor Díaz\3624ce4c,es ESP,DF,Granada,33-218,1988,12,8,712,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.07,0.00,0.07,0.07,0.07,Matches
133,Landry Dimata\b5f63410,be BEL,FWMF,Espanyol,24-137,1997,14,3,417,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,1.0,0.16,0.05,0.21,0.16,0.21,Matches
134,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,28-022,1993,18,17,1602,17.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
135,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,34-253,1987,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
136,Djené\a4971d84,tg TOG,DF,Getafe,30-016,1991,18,18,1585,17.6,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
137,Naïs Djouahra\3594a357,fr FRA,MF,Real Sociedad,22-054,1999,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.19,0.19,0.00,0.19,Matches
138,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,29-357,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
139,Carlos Dominguez\3521abfe,es ESP,DF,Celta Vigo,21-015,2001,3,2,182,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
140,Domingos Duarte\93090f69,pt POR,DF,Granada,26-312,1995,8,7,639,7.1,1,0,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,0.4,0.4,0.0,0.4,0.06,0.00,0.06,0.06,0.06,Matches
141,Óscar Duarte\aa0ac32d,cr CRC,DF,Levante,32-227,1989,11,10,883,9.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.03,0.02,0.05,0.03,0.05,Matches
142,Rubén Duarte\1fe0492d,es ESP,DF,Alavés,26-090,1995,18,17,1479,16.4,0,1,0,0,0,9,1,0.00,0.06,0.06,0.00,0.06,0.4,0.4,0.7,1.1,0.02,0.04,0.07,0.02,0.07,Matches
