,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
493,Renato Tapia\34269bdf,pe PER,MF,Celta Vigo,26-172,1995,15,12,1053,11.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches
494,Cristian Tello\72a99e38,es ESP,FWMF,Betis,30-158,1991,13,2,424,4.7,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,1.0,1.0,1.5,2.5,0.21,0.31,0.52,0.21,0.52,Matches
495,Marc-André ter Stegen\6f51e382,de GER,GK,Barcelona,29-261,1992,18,18,1620,18.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
496,David Timor\174651c8,es ESP,MF,Getafe,32-091,1989,7,3,341,3.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
497,Raúl de Tomás\02ef8778,es ESP,FW,Espanyol,27-091,1994,19,19,1676,18.6,10,2,6,4,4,3,1,0.54,0.11,0.64,0.32,0.43,9.4,6.3,1.2,7.5,0.50,0.06,0.56,0.34,0.40,Matches
498,Raúl Torrente\4d753a3f,es ESP,DF,Granada,20-321,2001,9,7,667,7.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.02,0.05,0.07,0.02,0.07,Matches
499,Óliver Torres\58a9a4d9,es ESP,MFFW,Sevilla,27-067,1994,10,6,393,4.4,1,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,0.3,0.3,0.1,0.4,0.07,0.03,0.10,0.07,0.10,Matches
500,Pau Torres\532e1e4f,es ESP,DF,Villarreal,25-000,1997,17,17,1530,17.0,3,0,3,0,0,3,0,0.18,0.00,0.18,0.18,0.18,1.9,1.9,0.6,2.5,0.11,0.04,0.15,0.11,0.15,Matches
501,Roberto Torres\d733aa38,es ESP,MFFW,Osasuna,32-315,1989,15,5,547,6.1,2,2,0,2,2,2,0,0.33,0.33,0.66,0.00,0.33,1.9,0.4,2.0,2.4,0.31,0.33,0.65,0.06,0.40,Matches
502,Lucas Torró\0e4fef6e,es ESP,MF,Osasuna,27-181,1994,17,17,1457,16.2,1,0,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.1,1.1,0.06,0.01,0.07,0.06,0.07,Matches
503,Óscar Trejo\fc647b34,ar ARG,MF,Rayo Vallecano,33-265,1988,18,16,1155,12.8,3,9,0,3,3,7,0,0.23,0.70,0.94,0.00,0.70,2.9,0.7,3.4,4.1,0.23,0.27,0.50,0.05,0.32,Matches
504,Manu Trigueros\963829d0,es ESP,MFFW,Villarreal,30-091,1991,19,16,1182,13.1,4,2,4,0,0,2,0,0.30,0.15,0.46,0.30,0.46,2.9,2.9,1.9,4.8,0.22,0.14,0.36,0.22,0.36,Matches
505,Kieran Trippier\21512407,eng ENG,DF,Atlético Madrid,31-119,1990,15,12,976,10.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.01,0.02,0.03,0.01,0.03,Matches
506,Beñat Turrientes\068f4dec,es ESP,MF,Real Sociedad,19-350,2002,7,1,198,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.20,0.05,0.25,0.20,0.25,Matches
507,Samuel Umtiti\3eed9821,fr FRA,DF,Barcelona,28-063,1993,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
508,Enes Ünal\f8eca1b6,tr TUR,FW,Getafe,24-251,1997,20,16,1350,15.0,6,0,6,0,1,4,0,0.40,0.00,0.40,0.40,0.40,4.5,3.8,0.6,4.4,0.30,0.04,0.34,0.25,0.29,Matches
509,Álvaro Vadillo\61b62b33,es ESP,MFDF,Espanyol,27-126,1994,3,0,7,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
510,Óscar Valentín\592f3158,es ESP,MF,Rayo Vallecano,27-149,1994,18,14,1277,14.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.4,1.4,0.07,0.03,0.10,0.07,0.10,Matches
511,Germán Valera\84f55b4a,es ESP,FWMF,Real Sociedad,19-306,2002,3,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
512,Martin Valjent\f2c6ac01,sk SVK,DF,Mallorca,26-036,1995,19,19,1651,18.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.01,0.03,0.04,0.01,0.04,Matches
513,Jesús Vallejo\c2111b45,es ESP,DF,Real Madrid,25-011,1997,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
514,Manu Vallejo\0bc4e720,es ESP,FWMF,Valencia,24-336,1997,9,0,98,1.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.20,0.09,0.29,0.20,0.29,Matches
515,Federico Valverde\0959c2a2,uy URU,MF,Real Madrid,23-178,1998,16,10,931,10.3,0,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.9,1.2,0.03,0.08,0.11,0.03,0.11,Matches
516,José Luis García Vayá\27dc1378,es ESP,MF,Levante,23-158,1998,11,8,612,6.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.06,0.06,0.00,0.06,Matches
517,Jesus Vazquez\106c142c,es ESP,DFMF,Valencia,19-014,2003,4,2,147,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.08,0.04,0.12,0.08,0.12,Matches
518,Kevin Vázquez\ee923664,es ESP,DF,Celta Vigo,28-299,1993,7,6,585,6.5,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
519,Lucas Vázquez\fd51b456,es ESP,DF,Real Madrid,30-199,1991,16,10,967,10.7,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,1.2,2.1,0.08,0.11,0.20,0.08,0.20,Matches
520,Gabriel Veiga\35a6e5c7,es ESP,MFFW,Celta Vigo,19-234,2002,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
521,Unai Vencedor Paris\4112ace5,es ESP,MF,Athletic Club,21-062,2000,20,19,1490,16.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.05,0.01,0.06,0.05,0.06,Matches
522,Gonzalo Verdú\1c2c55fc,es ESP,DF,Elche,33-087,1988,10,9,756,8.4,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
523,Mikel Vesga\b0fce72c,es ESP,MF,Athletic Club,28-240,1993,16,4,401,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.09,0.06,0.15,0.09,0.15,Matches
524,Rúben Vezo\c67cd65c,pt POR,DF,Levante,27-266,1994,18,17,1535,17.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.02,0.01,0.03,0.02,0.03,Matches
525,Aleix Vidal\04965583,es ESP,DFMF,Espanyol,32-148,1989,16,14,1165,12.9,2,0,2,0,0,4,0,0.15,0.00,0.15,0.15,0.15,0.7,0.7,1.0,1.7,0.05,0.08,0.13,0.05,0.13,Matches
526,Nacho Vidal\3a9c4b7b,es ESP,DF,Osasuna,26-357,1995,19,18,1584,17.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,1.3,0.04,0.04,0.07,0.04,0.07,Matches
527,Dídac Vilà\bad38a94,es ESP,DF,Espanyol,32-221,1989,4,1,149,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
528,Asier Villalibre\57be54ec,es ESP,FW,Athletic Club,24-108,1997,7,1,205,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.9,0.37,0.01,0.37,0.37,0.37,Matches
529,Vitolo\db750822,es ESP,MFFW,Getafe,32-075,1989,7,1,221,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.06,0.07,0.02,0.07,Matches
530,Daniel Vivian\ab7bf91d,es ESP,DF,Athletic Club,22-185,1999,9,9,777,8.6,1,0,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,0.7,0.7,0.0,0.7,0.08,0.00,0.08,0.08,0.08,Matches
531,Šime Vrsaljko\46a8347f,hr CRO,DF,Atlético Madrid,30-006,1992,7,1,240,2.7,1,1,1,0,0,1,0,0.37,0.37,0.75,0.37,0.75,0.8,0.8,0.3,1.1,0.31,0.11,0.42,0.31,0.42,Matches
532,Nikola Vukčević\4442fbcd,me MNE,MF,Levante,30-034,1991,4,0,111,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
533,Daniel Wass\d83bbc54,dk DEN,MF,Valencia,32-230,1989,19,19,1582,17.6,1,1,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,1.8,1.8,0.6,2.4,0.10,0.03,0.14,0.10,0.14,Matches
534,Iñaki Williams\6a99e0b1,es ESP,FW,Athletic Club,27-215,1994,21,19,1653,18.4,5,2,5,0,0,1,0,0.27,0.11,0.38,0.27,0.38,6.8,6.8,3.9,10.7,0.37,0.21,0.58,0.37,0.58,Matches
535,Nico Williams\afdc14d7,es ESP,MF,Athletic Club,19-188,2002,21,6,836,9.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,2.4,2.4,1.1,3.5,0.25,0.12,0.38,0.25,0.38,Matches
536,Okay Yokuşlu\e49ce451,tr TUR,DFMF,Celta Vigo,27-313,1994,7,1,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.16,0.00,0.16,0.16,0.16,Matches
537,Joseba Zaldúa\5ca20b7a,es ESP,DF,Real Sociedad,29-206,1992,13,8,683,7.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.04,0.04,0.00,0.04,Matches
538,Oier Zarraga\968a1c2f,es ESP,MF,Athletic Club,23-012,1999,16,4,603,6.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.06,0.03,0.08,0.06,0.08,Matches
539,Luca Zidane\c818c4d9,fr FRA,GKMF,Rayo Vallecano,23-248,1998,3,3,195,2.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
540,Igor Zubeldia\5c7845f6,es ESP,DFMF,Real Sociedad,24-292,1997,12,7,657,7.3,0,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,0.0,0.4,0.06,0.00,0.06,0.06,0.06,Matches
541,Martín Zubimendi\3ee0dd59,es ESP,MF,Real Sociedad,22-348,1999,19,13,1285,14.3,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.4,0.8,0.03,0.03,0.05,0.03,0.05,Matches
